mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0044501304626464845,0.000543827655154336,0.08749685287475586,0.005673941704053149,auto,20,1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.7617426820966644,0.7705922396187883,0.752724795640327,0.7438692098092643,0.7581743869209809,0.757420662817205,0.008926717574628923,673
0.004605913162231445,0.0037157242415529063,0.051979589462280276,0.014637594780151551,auto,20,1,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.7617426820966644,0.7705922396187883,0.752724795640327,0.7438692098092643,0.7581743869209809,0.757420662817205,0.008926717574628923,673
0.0034510612487792967,0.0007279922945306905,0.04352583885192871,0.010824881309343044,auto,20,1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.7522123893805309,0.762423417290674,0.7513623978201635,0.7431880108991825,0.7418256130790191,0.750202365693914,0.007404203258189003,697
0.004282808303833008,0.0011827625067697156,0.020348787307739258,0.0015898976295921313,auto,20,1,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.7522123893805309,0.762423417290674,0.7513623978201635,0.7431880108991825,0.7418256130790191,0.750202365693914,0.007404203258189003,697
0.003557252883911133,0.0009017997914403612,0.06412458419799805,0.010064614573103065,auto,20,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7876106194690266,0.776718856364874,0.7758855585831063,0.7677111716621253,0.7704359673024523,0.7756724346763169,0.006847816814627778,565
0.003467845916748047,0.0013919606455939106,0.040227413177490234,0.006911202673835013,auto,20,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7882913546630361,0.7773995915588836,0.776566757493188,0.7683923705722071,0.7690735694822888,0.7759447287539206,0.007199911953828449,541
0.0035736560821533203,0.0009703600318711246,0.05068516731262207,0.006398563311494723,auto,20,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7726344452008169,0.7828454731109599,0.7731607629427792,0.7554495912806539,0.7724795640326976,0.7713139673135815,0.008844964494303113,661
0.004276657104492187,0.001198013486246088,0.027213573455810547,0.004187200427060299,auto,20,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7726344452008169,0.7835262083049693,0.771117166212534,0.7602179836512262,0.7697547683923706,0.7714501143523834,0.007434789804507906,649
0.003256559371948242,0.0010010824278348,0.06935954093933105,0.0023729222168053566,auto,20,5,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7964601769911505,0.7821647379169503,0.7697547683923706,0.7649863760217984,0.7833787465940054,0.779348961183255,0.011093185866322079,241
0.004063177108764649,0.0017005547495985108,0.046570968627929685,0.007727456240212584,auto,20,5,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8005445881552076,0.786929884275017,0.7752043596730245,0.7683923705722071,0.7833787465940054,0.7828899898538924,0.010931553845445769,49
0.003538036346435547,0.0011706005293294678,0.04865894317626953,0.009530644107571967,auto,20,5,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7794417971409122,0.7773995915588836,0.7677111716621253,0.771117166212534,0.7724795640326976,0.7736298581214305,0.004258102203536133,613
0.0034726619720458984,0.0012001670212480942,0.029300975799560546,0.002628108133704186,auto,20,5,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.7787610619469026,0.7808032675289313,0.7670299727520435,0.7690735694822888,0.7724795640326976,0.7736294871485727,0.005355902987934898,625
0.003481006622314453,0.0006955815460552481,0.07048282623291016,0.010957630758876968,auto,20,7,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.786929884275017,0.7876106194690266,0.7656675749318801,0.7649863760217984,0.7779291553133515,0.7766247220022147,0.009839695401424861,481
0.0029224395751953126,0.0009322254321959745,0.049330949783325195,0.007612030236521292,auto,20,7,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.7930565010211028,0.7964601769911505,0.7690735694822888,0.7677111716621253,0.7758855585831063,0.7804373955479547,0.012064691335598917,181
0.0032745838165283204,0.0012607916810730222,0.06315426826477051,0.006849991501243437,auto,20,7,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.7821647379169503,0.7862491490810075,0.7656675749318801,0.7649863760217984,0.7854223433242506,0.7768980362551774,0.009548362996167636,433
0.0034438133239746093,0.001177193675220676,0.03649735450744629,0.004860722894553644,auto,20,7,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.7862491490810075,0.7855684138869979,0.7670299727520435,0.7643051771117166,0.7833787465940054,0.7773062918851542,0.00958899140960568,397
0.0025138378143310545,0.0008567592973922722,0.08413114547729492,0.007781925856569349,auto,20,9,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.7971409121851599,0.7855684138869979,0.7677111716621253,0.7622615803814714,0.7833787465940054,0.7792121649419521,0.012639600028403454,265
0.003612995147705078,0.0012865187416045976,0.042473888397216795,0.0050573538762412225,auto,20,9,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.7985023825731791,0.7950987066031314,0.7731607629427792,0.7663487738419619,0.782016348773842,0.7830253949469786,0.01234293992990522,37
0.0036543846130371095,0.0016951717813251824,0.06404585838317871,0.007763226893307977,auto,20,9,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.7801225323349217,0.7896528250510552,0.7772479564032697,0.7615803814713896,0.779291553133515,0.7775790496788302,0.009069123783607573,349
0.0026753902435302734,0.0012506059300768984,0.04450702667236328,0.010470047769112287,auto,20,9,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.776718856364874,0.7916950306330838,0.776566757493188,0.760899182561308,0.7786103542234333,0.7768980362551774,0.009777405034192653,433
0.002893352508544922,0.0010265508068075095,0.08486828804016114,0.009608995123352452,auto,20,11,1,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.7821647379169503,0.7828454731109599,0.771117166212534,0.7643051771117166,0.7806539509536785,0.7762173010611679,0.007306142684142115,517
0.0034038543701171873,0.0011234307572447386,0.05693483352661133,0.005854597647421275,auto,20,11,1,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.7876106194690266,0.7923757658270932,0.7772479564032697,0.7697547683923706,0.7840599455040872,0.7822098111191694,0.00794589774343694,73
0.004245567321777344,0.0020659020501419796,0.06508116722106934,0.008884740465901061,auto,20,11,2,uniform,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.7794417971409122,0.7944179714091218,0.7752043596730245,0.7677111716621253,0.7806539509536785,0.7794858501677724,0.008732798631017818,229
0.003383779525756836,0.0010127805785673035,0.03812146186828613,0.005083845000636222,auto,20,11,2,distance,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.7821647379169503,0.7944179714091218,0.7799727520435967,0.7656675749318801,0.7806539509536785,0.7805753974510454,0.009129681060192697,145
