toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id
1007.01,TIC 65212867,6.9989206,3.953,2840.0,14.7752,1282.0,448.744,6596.0,3.71,2.7,112.752393,-4.463359,PC,0.15399999916553497,Gaia DR3 3060208664203492992
101.01,TIC 231663901,1.4303699,1.6165994,18960.7122944,13.1874503,1525.9048089,1281.2408254,5600.0,4.48851,0.890774,318.737012,-55.871863,KP,-0.26160895824432373,Gaia DR3 6462994429708755072
1011.01,TIC 114018671,2.4704981,2.191,250.0,1.44656,1364.0,575.597,5413.7,4.46,0.94,113.984761,-32.841999,PC,-0.10999999940395355,Gaia DR3 5592015297342611968
1016.01,TIC 175310067,12.6889415,7.9201001,3232.8527885,14.0608342,1158.1310368,425.1594177,7601.0,4.31,1.53641,116.110771,-36.098285,FP,0.2239356091674758,Gaia DR3 5587573167284647296
1018.01,TIC 291555748,4.95912,2.509,7440.0,22.9123,1419.0,673.55,5889.0,3.86,2.0,111.716019,-50.266567,FP,-0.11899319657930957,Gaia DR3 5505717481529404416
102.01,TIC 149603524,4.4119378,3.65,15062.0,15.4706,1408.0,653.252,6280.0,4.32092,1.21,87.139821,-63.988329,KP,0.16820000112056732,Gaia DR3 4756649415309914240
1021.01,TIC 143994283,1.90879,1.909,618.482,3.34688,1561.0,985.807,6022.6,4.52,1.22,119.30075,-42.999149,FP,-0.009999999776482582,Gaia DR3 5533812202648246784
1023.01,TIC 238374636,1.3214483,3.435,2180.0,21.8839,3827.0,35623.2,5050.8,3.56,2.99,120.837688,-51.345626,FP,0.2800000011920929,Gaia DR3 5513717974811809792
1026.01,TIC 388624270,14.2694372,6.9350494,1246.3921871,3.7255381,682.4360542,51.2588496,5690.0,4.58,0.853898,125.434634,-51.759442,FP,0.019999999552965164,Gaia DR3 5322417520110230400
1027.01,TIC 20318757,3.2834565,1.537,1558.0,2.87648,992.0,161.092,4272.0,4.6,0.68,167.133275,-29.653135,PC,-0.15000000596046448,Gaia DR3 5452615261794584960
1027.02,TIC 20318757,11.02875,2.715,1694.0,2.76586,548.0,15.0463,4272.0,4.6,0.68,167.133275,-29.653135,PC,-0.15000000596046448,Gaia DR3 5452615261794584960
1027.03,TIC 20318757,5.0113292,1.024,1210.0,2.52314,567.0,17.1793,4272.0,4.6,0.68,167.133275,-29.653135,PC,-0.15000000596046448,Gaia DR3 5452615261794584960
1028.01,TIC 447283466,1.01606,2.843,240.0,1.20704,2023.0,2784.04,4634.0,4.64,0.68,157.098337,-51.705409,FP,0.03999999910593033,Gaia DR3 5357886734438478848
103.01,TIC 336732616,3.547854,3.494333,10424.3718,14.581841,1504.858953,1212.004376,6351.0,4.22896,1.4,312.457488,-24.428694,KP,-0.15000000596046448,Gaia DR3 6805886373600546176
1031.01,TIC 304021498,5.652623,3.434,1250.0,8.94354,2011.0,2717.06,6415.4,3.98,1.92,140.88389,-67.026006,FP,-0.2263788878917694,Gaia DR3 5247224664362873728
1036.01,TIC 146172354,3.7795212,2.952,2761.0,5.98375,1294.0,466.528,5771.0,4.31,1.18,157.867112,-42.240448,PC,0.03999999910593033,Gaia DR3 5368266433430785280
104.01,TIC 231670397,4.0872956,5.586113,3572.1712499,13.6237732,1755.0767383,2242.3605401,6036.0,3.93359,2.2186699,319.949697,-58.148933,KP,0.20999999344348907,Gaia DR3 6453566701615683456
1043.01,TIC 90448944,1.4415577,2.349,507.0,3.61078,3174.0,16861.8,6902.0,4.25,1.52,128.302319,-52.714202,FP,-0.06070899633739729,Gaia DR3 5321241283189288704
1047.01,TIC 370745311,0.62627,0.666,1880.0,5.72162,2101.0,3235.57,5622.0,4.5,0.93,144.581535,-67.505097,FP,-0.019999999552965164,Gaia DR3 5247292116826741504
1049.01,TIC 16288184,2.1805277,2.969175,16340.1353205,16.808853,1654.404068,1770.4650539,6599.0,4.21017,1.2714601,253.768848,-28.710584,KP,0.23000000417232513,Gaia DR3 6032746832450438400
105.01,TIC 144065872,2.1846669,2.86528,11708.0228549,13.7028527,1549.4409801,1362.1381428,5630.0,4.37759,1.23824,337.457824,-48.003099,KP,0.30000001192092896,Gaia DR3 6518399301667782016
1050.01,TIC 66818296,3.7354838,4.142,17030.0,21.2315,1670.0,1292.19,6650.0,4.1639,1.57,239.962248,-28.061794,KP,0.6899999976158142,Gaia DR3 6042793005779654656
1052.01,TIC 317060587,9.139804,3.0912936,358.4157801,3.0629855,1006.9932829,243.011763,5958.2,4.34,1.58,337.510274,-75.646561,CP,0.05000000074505806,Gaia DR3 6357524189130820992
1054.01,TIC 366989877,15.5077855,4.565,513.0,2.43432,853.0,88.0718,6122.0,4.30881,1.17,302.114174,-54.317501,CP,-0.1850000023841858,Gaia DR3 6473033932942902528
1055.01,TIC 320004517,17.4713078,4.4284819,1199.7541483,3.5766828,689.3568807,53.3700317,5783.54,4.49925,0.974669,293.286615,-54.532728,CP,-0.03999999910593033,Gaia DR3 6641996571978861440
1056.01,TIC 421894914,5.3079507,3.2158594,391.3830934,3.0486928,1263.9861129,603.2401116,6124.3,4.38,1.36963,339.258703,-76.917605,PC,0.10000000149011612,Gaia DR3 6357011163877476096
1057.01,TIC 323132914,51.1701501,6.6641048,851.4547808,2.9366826,466.7322968,11.2148229,5599.0,4.46138,0.943356,127.996917,-78.407564,PC,-0.10999999940395355,Gaia DR3 5209299420242893184
