toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id,Prediction,source_id,teff_gspspec,flags_gspspec,lum_flame,mass_flame,r_med_geo,r_lo_geo,r_hi_geo,flags_flame,teff_gspphot,ruwe,teff,hz_inner,hz_outer,a_orbit,isInHabitableZone
1011.01,TIC 114018671,2.4704981,2.191,250.0,1.44656,1364.0,575.597,5413.7,4.46,0.94,113.984761,-32.841999,PC,-0.1099999994039535,Gaia DR3 5592015297342611968,1,Gaia DR3 5592015297342611968,5374.0,00000000000009911009900019900991199999999,0.6729387,0.89208543,52.345104,52.280975,52.38133,00,5454.17,0.9479325,5374.0,0.8280856761721539,1.4494042057516874,0.03442919958152373,out
1036.01,TIC 146172354,3.7795212,2.952,2761.0,5.98375,1294.0,466.528,5771.0,4.31,1.18,157.867112,-42.240448,PC,0.0399999991059303,Gaia DR3 5368266433430785280,1,Gaia DR3 5368266433430785280,5700.0,00000000000009999001100119900999999999999,1.300065,0.93966824,182.281,181.83157,182.75114,00,5664.6846,1.0047425,5700.0,1.1359683275603247,1.958036232473602,0.046510513438834535,out
1056.01,TIC 421894914,5.3079507,3.2158594,391.3830934,3.0486928,1263.9861129,603.2401116,6124.3,4.38,1.36963,339.258703,-76.917605,PC,0.1000000014901161,Gaia DR3 6357011163877476096,1,Gaia DR3 6357011163877476096,6192.0,00000000000000299000000029900999999999999,1.9318995,1.1063583,167.26251,166.9836,167.56337,00,6070.805,1.0302962,6192.0,1.3579453829328216,2.290793251756389,0.061591145201303044,out
1057.01,TIC 323132914,51.1701501,6.6641048,851.4547808,2.9366826,466.7322968,11.2148229,5599.0,4.46138,0.943356,127.996917,-78.407564,PC,-0.1099999994039535,Gaia DR3 5209299420242893184,1,Gaia DR3 5209299420242893184,5661.0,00000000000009999019900999900999999999999,0.8212418,0.91018057,98.10141,97.980896,98.2148,00,5557.8633,1.0416116,5661.0,0.9042817064948911,1.561493773653967,0.26140992628719634,out
1063.01,TIC 406976746,10.0665238,2.4023189,839.9044871,2.7272824,694.1792631,54.8791715,5552.0,4.61783,0.791742,230.555493,-83.056214,PC,0.0900000035762786,Gaia DR3 5771517717394679424,1,Gaia DR3 5771517717394679424,5255.0,00000002000009999999999999999999999999999,0.42751423,0.82069397,61.24192,61.202774,61.28233,00,5135.517,1.0190543,5135.51708984375,0.6662710572442323,1.17965531945174,0.08542438445148419,out
1074.01,TIC 327301957,13.9428705,3.7522756,1015.395543,2.4233421,587.1759148,28.0927293,5206.0,4.63095,0.741671,310.761004,-72.010267,PC,-0.2199999988079071,Gaia DR3 6373601591750055424,1,Gaia DR3 6373601591750055424,4932.0,00000000000009999999900019900999999999999,0.32332203,0.8301993,107.40561,107.25859,107.55037,00,4996.7056,0.8927187,4932.0,0.5839467038288798,1.0441356825047998,0.10655259011226469,out
1086.01,TIC 468148930,3.7178828,5.5277827,4864.8405125,14.6986197,1689.4116185,1925.1426172,5818.0,4.33787,2.0840001,305.56982,-88.568495,PC,0.1899999976158142,Gaia DR3 6341398511080515712,1,Gaia DR3 6341398511080515712,6463.0,00000020000009999999999999999999999999999,3.5787065,1.2001854,723.47253,717.91034,729.0509,00,5793.276,1.1465193,6463.0,1.829568790534779,3.053758965970639,0.0499131531509221,out
1105.01,TIC 274151135,10.8680523,2.375,1553.0,2.90726,594.0,20.7383,4664.0,4.55,0.76,146.053969,-89.471513,PC,0.0199999995529651,Gaia DR3 5188175980806170624,1,Gaia DR3 5188175980806170624,4923.0,00000001000009999999900999900999999999999,0.2456347,0.737069,79.301125,79.22864,79.375496,00,4678.4644,0.98955137,4678.46435546875,0.5137099514634095,0.9298125718446535,0.08673724519286366,out
1116.01,TIC 304100538,5.0100708,2.0644756,409.4812214,2.3107394,971.6657708,210.6631712,5551.0,4.46214,0.906282,27.699972,-75.848774,PC,0.1099999994039535,Gaia DR3 4636943797678881408,1,Gaia DR3 4636943797678881408,5708.0,00000001000009922009900129900999999999999,0.66505605,0.9453524,94.24473,94.14434,94.36396,00,5523.859,0.949999,5523.85888671875,0.8182817831906236,1.4220799422755257,0.05623787596492655,out
1117.01,TIC 295541511,2.2281625,2.015,630.0,2.56778,1434.0,702.927,5731.0,4.43,1.02,273.602061,-66.419974,PC,0.1800000071525573,Gaia DR3 6436995652638923392,1,Gaia DR3 6436995652638923392,5675.0,00000000000009921001200129900999999999999,0.97822535,0.95610636,166.14626,165.71776,166.5058,00,5685.946,1.0008682,5675.0,0.9863746997460275,1.7021474082593582,0.032890343140355195,out
