solver,C,max_iter,tol,cv_score
lbfgs,0.001,50,0.0001,0.7451626066778825
lbfgs,0.001,50,0.001,0.7450263668958661
lbfgs,0.001,50,0.01,0.7455709550510737
lbfgs,0.001,100,0.0001,0.7451626066778825
lbfgs,0.001,100,0.001,0.7450263668958661
lbfgs,0.001,100,0.01,0.7455709550510737
lbfgs,0.001,200,0.0001,0.7451626066778825
lbfgs,0.001,200,0.001,0.7450263668958661
lbfgs,0.001,200,0.01,0.7455709550510737
lbfgs,0.01,50,0.0001,0.7624592161714489
lbfgs,0.01,50,0.001,0.7630041752995143
lbfgs,0.01,50,0.01,0.7601439745661008
lbfgs,0.01,100,0.0001,0.7624592161714489
lbfgs,0.01,100,0.001,0.7630041752995143
lbfgs,0.01,100,0.01,0.7601439745661008
lbfgs,0.01,200,0.0001,0.7624592161714489
lbfgs,0.01,200,0.001,0.7630041752995143
lbfgs,0.01,200,0.01,0.7601439745661008
lbfgs,0.1,50,0.0001,0.777033070375406
lbfgs,0.1,50,0.001,0.7770329776321915
lbfgs,0.1,50,0.01,0.7728120484564747
lbfgs,0.1,100,0.0001,0.777033070375406
lbfgs,0.1,100,0.001,0.7770329776321915
lbfgs,0.1,100,0.01,0.7728120484564747
lbfgs,0.1,200,0.0001,0.777033070375406
lbfgs,0.1,200,0.001,0.7770329776321915
lbfgs,0.1,200,0.01,0.7728120484564747
lbfgs,1.0,50,0.0001,0.7838432973551489
lbfgs,1.0,50,0.001,0.7834349489819576
lbfgs,1.0,50,0.01,0.7758079325126176
lbfgs,1.0,100,0.0001,0.7838432973551489
lbfgs,1.0,100,0.001,0.7834349489819576
lbfgs,1.0,100,0.01,0.7758079325126176
lbfgs,1.0,200,0.0001,0.7838432973551489
lbfgs,1.0,200,0.001,0.7834349489819576
lbfgs,1.0,200,0.01,0.7758079325126176
lbfgs,10.0,50,0.0001,0.7846611070201048
lbfgs,10.0,50,0.001,0.7828904535699646
lbfgs,10.0,50,0.01,0.7760802265902215
lbfgs,10.0,100,0.0001,0.7849335865841376
lbfgs,10.0,100,0.001,0.7828904535699646
lbfgs,10.0,100,0.01,0.7760802265902215
lbfgs,10.0,200,0.0001,0.7849335865841376
lbfgs,10.0,200,0.001,0.7828904535699646
lbfgs,10.0,200,0.01,0.7760802265902215
lbfgs,100.0,50,0.0001,0.7857510252762356
lbfgs,100.0,50,0.001,0.7830266933519809
lbfgs,100.0,50,0.01,0.7760802265902215
lbfgs,100.0,100,0.0001,0.785887265058252
lbfgs,100.0,100,0.001,0.7830266933519809
lbfgs,100.0,100,0.01,0.7760802265902215
lbfgs,100.0,200,0.0001,0.785887265058252
lbfgs,100.0,200,0.001,0.7830266933519809
lbfgs,100.0,200,0.01,0.7760802265902215
lbfgs,1000.0,50,0.0001,0.7868409435323664
lbfgs,1000.0,50,0.001,0.7832989874295847
lbfgs,1000.0,50,0.01,0.7760802265902215
lbfgs,1000.0,100,0.0001,0.7868409435323664
lbfgs,1000.0,100,0.001,0.7832989874295847
lbfgs,1000.0,100,0.01,0.7760802265902215
lbfgs,1000.0,200,0.0001,0.7868409435323664
lbfgs,1000.0,200,0.001,0.7832989874295847
lbfgs,1000.0,200,0.01,0.7760802265902215
liblinear,0.001,50,0.0001,0.7424384602400564
liblinear,0.001,50,0.001,0.7424384602400564
liblinear,0.001,50,0.01,0.7424384602400567
liblinear,0.001,100,0.0001,0.7424384602400564
liblinear,0.001,100,0.001,0.7424384602400564
liblinear,0.001,100,0.01,0.7424384602400567
liblinear,0.001,200,0.0001,0.7424384602400564
liblinear,0.001,200,0.001,0.7424384602400564
liblinear,0.001,200,0.01,0.7424384602400567
liblinear,0.01,50,0.0001,0.7638213357619689
liblinear,0.01,50,0.001,0.7638213357619689
liblinear,0.01,50,0.01,0.7636851887231669
liblinear,0.01,100,0.0001,0.7638213357619689
liblinear,0.01,100,0.001,0.7638213357619689
liblinear,0.01,100,0.01,0.7636851887231669
liblinear,0.01,200,0.0001,0.7638213357619689
liblinear,0.01,200,0.001,0.7638213357619689
liblinear,0.01,200,0.01,0.7636851887231669
liblinear,0.1,50,0.0001,0.7770332558618349
liblinear,0.1,50,0.001,0.7770332558618349
liblinear,0.1,50,0.01,0.7770331631186205
liblinear,0.1,100,0.0001,0.7770332558618349
liblinear,0.1,100,0.001,0.7770332558618349
liblinear,0.1,100,0.01,0.7770331631186205
liblinear,0.1,200,0.0001,0.7770332558618349
liblinear,0.1,200,0.001,0.7770332558618349
liblinear,0.1,200,0.01,0.7770331631186205
liblinear,1.0,50,0.0001,0.7835709105343306
liblinear,1.0,50,0.001,0.7835709105343306
liblinear,1.0,50,0.01,0.7838433900983632
liblinear,1.0,100,0.0001,0.7835709105343306
liblinear,1.0,100,0.001,0.7835709105343306
liblinear,1.0,100,0.01,0.7838433900983632
liblinear,1.0,200,0.0001,0.7835709105343306
liblinear,1.0,200,0.001,0.7835709105343306
liblinear,1.0,200,0.01,0.7838433900983632
liblinear,10.0,50,0.0001,0.7849335865841376
liblinear,10.0,50,0.001,0.7849335865841376
liblinear,10.0,50,0.01,0.7839796298803797
liblinear,10.0,100,0.0001,0.7849335865841376
liblinear,10.0,100,0.001,0.7849335865841376
liblinear,10.0,100,0.01,0.7839796298803797
liblinear,10.0,200,0.0001,0.7849335865841376
liblinear,10.0,200,0.001,0.7849335865841376
liblinear,10.0,200,0.01,0.7839796298803797
liblinear,100.0,50,0.0001,0.7857510252762356
liblinear,100.0,50,0.001,0.7856148782374337
liblinear,100.0,50,0.01,0.7838433900983633
liblinear,100.0,100,0.0001,0.7857510252762356
liblinear,100.0,100,0.001,0.7856148782374337
liblinear,100.0,100,0.01,0.7838433900983633
liblinear,100.0,200,0.0001,0.7857510252762356
liblinear,100.0,200,0.001,0.7856148782374337
liblinear,100.0,200,0.01,0.7838433900983633
liblinear,1000.0,50,0.0001,0.7869771833143828
liblinear,1000.0,50,0.001,0.7868409435323664
liblinear,1000.0,50,0.01,0.7839796298803796
liblinear,1000.0,100,0.0001,0.7869771833143828
