toi,tid,tfopwg_disp,ra,dec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,gaia_id,SOURCE_ID,phot_g_mean_mag,mh_gspphot,teff_gspphot,logg_gspphot,azero_gspphot,ebpminrp_gspphot,ag_gspphot,mg_gspphot,libname_gspphot,alphafe_gspspec,mh_gspspec,fem_gspspec,flags_gspspec,radius_flame,lum_flame,mass_flame,age_flame,r_med_geo,r_lo_geo,r_hi_geo,calibrated_gspphot,calibrated gspspec,metallicity,source_of_met,Prediction,multi_pl,spectral_type
101.01,TIC 231663901,KP,318.737012,-55.871863,3493.009116999805,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,5600.0,4.48851,0.890774,6462994429708755072,6.462994429708755e+18,12.840169,-0.3703,5600.015,4.4471,0.0197,0.0088,0.0164,4.9691,MARCS,,,,,0.9270745,0.7483181,0.94579756,5.25653,368.22568,366.87866,370.0535,-0.2566458296453265,,-0.2566458296453265,cal_phot,0,0,G
1011.01,TIC 114018671,PC,113.984761,-32.841999,5151.627768000122,2.4704981,2.191,250.0,1.44656,575.597,1364.0,5413.7,4.46,0.94,5592015297342611968,5.592015297342611e+18,8.739241,-0.2023,5454.17,4.4554,0.0281,0.0122,0.023,5.0899,PHOENIX,0.05,-0.03,-0.06,00000000000009911009900019900991199999999,0.91806054,0.6729387,0.89208543,9.071643,52.345104,52.280975,52.38133,0.3649625038768916,-0.03,-0.09,f_spec,1,0,G
102.01,TIC 149603524,KP,87.139821,-63.988329,5354.916571000125,4.4119378,3.65,15062.0,15.4706,653.252,1408.0,6280.0,4.32092,1.21,4756649415309914240,4.756649415309914e+18,10.077329,-0.0258,6147.792,4.2675,0.001,0.0005,0.0009,3.8489,MARCS,0.17,-0.0,-0.02,00000000000009999000000999900019999999999,1.2684034,2.0716286,1.1441817,3.6736262,175.47214,175.19043,175.81593,0.1253269537418451,-0.0,-0.02,f_spec,0,0,F
1027.01,TIC 20318757,PC,167.133275,-29.653135,5204.869049999863,3.2834565,1.537,1558.0,2.87648,161.092,992.0,4272.0,4.6,0.68,5452615261794584960,5.452615261794585e+18,10.965907,,,,,,,,,0.17,-0.15,,00000001000009999019900009999999999999999,,,,,56.3683,56.321056,56.410862,,-0.15,-0.2658338086337224,a_spec,1,1,K
1027.02,TIC 20318757,PC,167.133275,-29.653135,5199.533249999862,11.02875,2.715,1694.0,2.76586,15.0463,548.0,4272.0,4.6,0.68,5452615261794584960,5.452615261794585e+18,10.965907,,,,,,,,,0.17,-0.15,,00000001000009999019900009999999999999999,,,,,56.3683,56.321056,56.410862,,-0.15,-0.2658338086337224,a_spec,1,1,K
1027.03,TIC 20318757,PC,167.133275,-29.653135,5199.573040000163,5.0113292,1.024,1210.0,2.52314,17.1793,567.0,4272.0,4.6,0.68,5452615261794584960,5.452615261794585e+18,10.965907,,,,,,,,,0.17,-0.15,,00000001000009999019900009999999999999999,,,,,56.3683,56.321056,56.410862,,-0.15,-0.2658338086337224,a_spec,1,1,K
103.01,TIC 336732616,KP,312.457488,-24.428694,3494.252559999936,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,6351.0,4.22896,1.4,6805886373600546176,6.805886373600546e+18,11.882881,-0.3987,6109.0044,4.1435,0.0388,0.018,0.0333,3.758,MARCS,0.22,-0.15,,00000020000009999999999999999999999999999,1.3624908,2.3272338,1.155194,4.3430986,414.87656,411.1068,418.22845,-0.3848466912769324,-0.15,-0.3025379757263241,a_spec,0,0,F
1036.01,TIC 146172354,PC,157.867112,-42.240448,5204.172272999771,3.7795212,2.952,2761.0,5.98375,466.528,1294.0,5771.0,4.31,1.18,5368266433430785280,5.368266433430785e+18,10.738358,0.0284,5664.6846,4.2582,0.0687,0.0305,0.0573,4.3801,MARCS,0.01,0.12,-0.06,00000000000009999001100119900999999999999,1.1821616,1.300065,0.93966824,11.927829,182.281,181.83157,182.75114,0.3244507404698486,0.12,0.06,f_spec,1,0,G
104.01,TIC 231670397,KP,319.949697,-58.148933,5317.608676999807,4.0872956,5.586113,3572.1712499,13.6237732,2242.3605401,1755.0767383,6036.0,3.93359,2.2186699,6453566701615683456,6.453566701615684e+18,10.264232,,,,,,,,,0.11,0.12,-0.15,00000000000000112000100999900029999999999,,,,,315.4065,314.10287,316.96954,,0.12,-0.03,f_spec,0,0,F
1049.01,TIC 16288184,KP,253.768848,-28.710584,4530.821392999962,2.1805277,2.969175,16340.1353205,16.808853,1770.4650539,1654.404068,6599.0,4.21017,1.2714601,6032746832450438400,6.032746832450438e+18,11.466937,-0.3091,6242.985,4.295,0.1864,0.0857,0.1593,3.8813,PHOENIX,0.4,-0.09,,00000122000009999999999999999999999999999,1.2175927,2.0285141,1.1723726,2.2835407,303.45197,300.33948,306.58252,0.0009880734428901,-0.09,-0.3832705017780523,a_spec,0,0,F
