toi,tid,tfopwg_disp,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,Gaia_DR3_ID,Fe_H
1000.01,TIC 50365310,FP,112.357708,-12.69596,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,10249.0,4.19,2.16986,Gaia DR3 3033676761434888320,
1001.01,TIC 88863718,PC,122.580465,-5.513852,1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,7070.0,4.03,2.01,Gaia DR3 3067555424799970560,
1004.01,TIC 238597883,FP,122.178195,-48.802811,3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9219.0,4.14,2.15,Gaia DR3 5514577414951631488,
1007.01,TIC 65212867,PC,112.752393,-4.463359,6.9989206,3.953,2840.0,14.7752,448.744,1282.0,6596.0,3.71,2.7,Gaia DR3 3060208664203492992,0.15399999916553497
101.01,TIC 231663901,KP,318.737012,-55.871863,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,5600.0,4.48851,0.890774,Gaia DR3 6462994429708755072,-0.3100000023841858
1011.01,TIC 114018671,PC,113.984761,-32.841999,2.4704981,2.191,250.0,1.44656,575.597,1364.0,5413.7,4.46,0.94,Gaia DR3 6462994429708755072,-0.18000000715255737
1012.01,TIC 427508467,APC,117.095285,6.785064,0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8928.0,3.92,2.72,Gaia DR3 6462994429708755072,-0.28999999165534973
1016.01,TIC 175310067,FP,116.110771,-36.098285,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,7601.0,4.31,1.53641,Gaia DR3 6462994429708755072,-0.18000000715255737
1017.01,TIC 182943944,FP,124.726411,-37.78325,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,6995.2,4.07,1.61,Gaia DR3 6462994429708755072,-0.3700000047683716
1018.01,TIC 291555748,FP,111.716019,-50.266567,4.95912,2.509,7440.0,22.9123,673.55,1419.0,5889.0,3.86,2.0,Gaia DR3 5592015297342611968,-0.10999999940395355
