n_estimators,min_samples_split,min_samples_leaf,cv_score
100,2,2,0.8335581119707376
100,2,4,0.8342402383129638
100,2,8,0.8342410730018939
100,2,10,0.8354667673239687
100,2,12,0.8331517112050498
100,5,2,0.8327414152243551
100,5,4,0.8342402383129638
100,5,8,0.8342410730018939
100,5,10,0.8354667673239687
100,5,12,0.8331517112050498
100,10,2,0.835602357903484
100,10,4,0.8362825366382068
100,10,8,0.8342410730018939
100,10,10,0.8354667673239687
100,10,12,0.8331517112050498
150,2,2,0.8327409515082829
150,2,4,0.835874466494659
150,2,8,0.8361485226933372
150,2,10,0.8357392468880015
150,2,12,0.8336961138738286
150,5,2,0.8324684719442501
150,5,4,0.835874466494659
150,5,8,0.8361485226933372
150,5,10,0.8357392468880015
150,5,12,0.8336961138738286
150,10,2,0.835057677005062
150,10,4,0.8371001608167339
150,10,8,0.8361485226933372
150,10,10,0.8357392468880015
150,10,12,0.8336961138738286
200,2,2,0.8332857251499194
200,2,4,0.8341039985309475
200,2,8,0.8360118191952484
200,2,10,0.8361477807476216
200,2,12,0.8341052041927352
200,5,2,0.8327409515082829
200,5,4,0.8341039985309475
200,5,8,0.8360118191952484
200,5,10,0.8361477807476216
200,5,12,0.8341052041927352
200,10,2,0.8349210662501878
200,10,4,0.8356020796738406
200,10,8,0.8360118191952484
200,10,10,0.8361477807476216
200,10,12,0.8341052041927352
250,2,2,0.8339670168032157
250,2,4,0.8345128106202109
250,2,8,0.8357396178608593
250,2,10,0.8361476880044071
250,2,12,0.8345139235387844
250,5,2,0.8327410442514974
250,5,4,0.8345128106202109
250,5,8,0.8357396178608593
250,5,10,0.8361476880044071
250,5,12,0.8345139235387844
250,10,2,0.8346484939429406
250,10,4,0.8357383194558569
250,10,8,0.8357396178608593
250,10,10,0.8361476880044071
250,10,12,0.8345139235387844
300,2,2,0.8338306842779849
300,2,4,0.8353300638258802
300,2,8,0.8364202603116542
300,2,10,0.8351943805031505
300,2,12,0.8342417222043949
300,5,2,0.833149670854332
300,5,4,0.8353300638258802
300,5,8,0.8364202603116542
300,5,10,0.8351943805031505
300,5,12,0.8342417222043949
300,10,2,0.834784733724957
300,10,4,0.8349212517366167
300,10,8,0.8364202603116542
300,10,10,0.8351943805031505
300,10,12,0.8342417222043949
350,2,2,0.8335584829435956
350,2,4,0.8349216227094745
350,2,8,0.8362840205296379
350,2,10,0.8350586044372064
350,2,12,0.8336967630763296
350,5,2,0.8338307770211992
350,5,4,0.8349216227094745
350,5,8,0.8362840205296379
350,5,10,0.8350586044372064
350,5,12,0.8336967630763296
350,10,2,0.8346489576590128
350,10,4,0.8350575842618475
350,10,8,0.8362840205296379
350,10,10,0.8350586044372064
350,10,12,0.8336967630763296
400,2,2,0.8332860033795628
400,2,4,0.8349214372230456
400,2,8,0.8368289796577034
400,2,10,0.834650256064015
400,2,12,0.8327434555750728
400,5,2,0.8338310552508427
400,5,4,0.8349214372230456
400,5,8,0.8368289796577034
400,5,10,0.834650256064015
400,5,12,0.8327434555750728
400,10,2,0.8353297855962367
400,10,4,0.8343765708381946
400,10,8,0.8368289796577034
400,10,10,0.834650256064015
400,10,12,0.8327434555750728
450,2,2,0.8334218721887213
450,2,4,0.8346490504022274
450,2,8,0.8369651266965052
450,2,10,0.8347863103596026
450,2,12,0.8328794171274458
450,5,2,0.833013709301959
450,5,4,0.8346490504022274
450,5,8,0.8369651266965052
450,5,10,0.8347863103596026
450,5,12,0.8328794171274458
450,10,2,0.8347850119546004
450,10,4,0.8351938240438639
450,10,8,0.8369651266965052
450,10,10,0.8347863103596026
450,10,12,0.8328794171274458
